Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6gzIcEUuswJQGfJNPYMjjv,"Hard Work Pays Off","Future & Juice WRLD Present... WRLD ON DRUGS","Future;Juice WRLD",2018-10-19,224506,64,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:03:52Z,"rap,trap,melodic rap,emo rap","Epic/Freebandz/Grade A/Interscope",0.736,0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,4
spotify:track:2BSbCCbaSCzkOEZa6N5901,"Flaws And Sins","Death Race For Love","Juice WRLD",2019-03-08,218348,3,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:04:08Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.709,0.662,8,-4.55,1,0.0766,0.00966,0,0.108,0.439,150.046,4
spotify:track:1wa6QQsdSE3X2GbRljGpFk,"Candles","Goodbye & Good Riddance","Juice WRLD",2018-12-10,183703,71,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:04:57Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.715,0.574,7,-6.236,1,0.0817,0.373,0,0.174,0.337,157,4
spotify:track:49QVOdWgGagzLrThkIqtK6,"Scared Of Love (with instrumental by Ghost Loft)","Goodbye & Good Riddance","Juice WRLD",2018-12-10,170538,67,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:05:03Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.642,0.562,11,-4.869,0,0.0812,0.032,0,0.168,0.177,158.001,4
spotify:track:6Zc5f20q7sOe1IC1c1jQvZ,"Without Me (with Juice WRLD)","Without Me (with Juice WRLD)","Halsey;Juice WRLD",2019-01-09,228816,1,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:05:09Z,"melodic rap,emo rap","Capitol Records",0.744,0.514,6,-6.103,1,0.0746,0.355,0,0.184,0.449,136.013,4
spotify:track:3XRQT7EoS4U87rUuJwg5P3,"Hurt Me","Goodbye & Good Riddance","Juice WRLD",2018-12-10,122285,73,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:05:14Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.62,0.451,6,-7.623,1,0.17,0.128,0,0.373,0.294,156.906,4
spotify:track:0INehbMZOFPnaPBAjK97i3,"I'll Be Fine","Goodbye & Good Riddance","Juice WRLD",2018-12-10,244193,72,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:05:40Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.523,0.678,8,-6.071,1,0.0692,0.000616,0,0.142,0.277,159.909,4
spotify:track:4zxpssj8DyrfZcEUSUiNxG,"Ring Ring (with Rvssian feat. Clever)","Death Race For Love","Juice WRLD;Rvssian;Clever",2019-03-08,171816,1,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:06:41Z,"melodic rap,emo rap,trap latino,dancehall","Grade A Productions/Interscope Records",0.581,0.673,0,-4.421,0,0.0549,0.0768,0,0.4,0.621,160.073,4
spotify:track:06LFFPPS7MylCZXps3cO4m,"Who Shot Cupid?","Death Race For Love","Juice WRLD",2019-03-08,214245,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:06:52Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.758,0.932,3,-2.809,1,0.0372,0.0558,0,0.097,0.592,125.993,4
spotify:track:19m3E0nMZobyA93AxMXC32,"I'm Still","Goodbye & Good Riddance","Juice WRLD",2018-12-10,192859,70,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:08:40Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.631,0.672,11,-4.583,1,0.0347,0.0811,0,0.154,0.282,119.948,4
spotify:track:24BNgrtp6Fag4M5BQPEgsV,"End Of The Road","Goodbye & Good Riddance","Juice WRLD",2018-12-10,162981,69,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:08:44Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.373,0.717,1,-5.833,0,0.083,0.0568,0,0.114,0.293,109.977,5
spotify:track:6phY2gnvf9WwCiXlLMQOY3,"HeMotions","Death Race For Love","Juice WRLD",2019-03-08,187211,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:14:51Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.561,0.76,2,-7.194,1,0.264,0.667,0,0.106,0.317,163.938,4
spotify:track:3usM520kfIRpWNaYOwdnYI,"Rider","Death Race For Love","Juice WRLD",2019-03-08,192093,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:17:57Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.583,0.815,7,-4.257,1,0.0365,0.214,0,0.413,0.451,140.031,4
spotify:track:3zM2prB16NRn1zggh1KCY0,"She’s The One","Death Race For Love","Juice WRLD",2019-03-08,188837,0,true,21opbfqensrqobjzl3lumijsy,2022-03-23T21:29:00Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.621,0.804,6,-5.502,0,0.225,0.308,0,0.297,0.396,155.984,4
spotify:local:Post+Malone:Stoney+%26+B%26B+%26+Hollywood+is+bleeding:Money+Made+Me+Do+It:178,"Money Made Me Do It","Stoney & B&B & Hollywood is bleeding","Post Malone",,178000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:30:37Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Stoney+%26+B%26B+%26+Hollywood+is+bleeding:Same+Bitches:174,"Same Bitches","Stoney & B&B & Hollywood is bleeding","Post Malone",,174000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:30:49Z,"","undefined",,,,,,,,,,,,
spotify:local:Juice+WRLD+%26+Post+Malone:Crazy:Life%27s+A+Mess+II+-+ft.+Post+Malone:137,"Life's A Mess II - ft. Post Malone","Crazy","Juice WRLD & Post Malone",,137000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:02Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:August+26:Post+Malone+-+Lonely+ft.+Jaden+Smith+%26+T%C3%A9o:255,"Post Malone - Lonely ft. Jaden Smith & Téo","August 26","Post Malone",,255000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:10Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:August+26:Post+Malone+-+Git+Wit+U:140,"Post Malone - Git Wit U","August 26","Post Malone",,140000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:25Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:August+26:Post+Malone+-+God+Damn+-+Ft.+1st:175,"Post Malone - God Damn - Ft. 1st","August 26","Post Malone",,175000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:28Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:August+26:Post+Malone+-+%23mood:98,"Post Malone - #mood","August 26","Post Malone",,98000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:30Z,"","undefined",,,,,,,,,,,,
spotify:local:Post+Malone:Post+Malone+-+Other:Post+Malone+-+Boy+Bandz:170,"Post Malone - Boy Bandz","Post Malone - Other","Post Malone",,170000,0,false,21opbfqensrqobjzl3lumijsy,2022-03-24T17:32:39Z,"","undefined",,,,,,,,,,,,
